ReportingArea,Region,Year,Campylobacteriosis,"Cryptosporidiosis, Total","Lyme disease, Total","Dengue virus infections, Dengue",Malaria,Cyclosporiasis
Tennessee,EAST,2017,925,206,47,3,15,6
West South Central,OTHER,2017,8141,1625,77,42,175,343
Arkansas,SOUTHEAST,2017,626,131,6,NA,3,2
Louisiana,SOUTHEAST,2017,824,145,12,1,9,22
Oklahoma,SOUTHWEST,2017,1243,197,1,1,11,NA
Texas,SOUTHWEST,2017,5448,1152,58,40,152,319
Mountain,OTHER,2017,5232,789,113,14,81,61
Arizona,SOUTHWEST,2017,1372,112,28,3,26,8
Colorado,NORTHWEST,2017,1193,200,4,4,32,29
Idaho,NORTHWEST,2017,506,94,20,1,5,NA
Montana,NORTHWEST,2017,406,70,12,NA,3,3
Nevada,NORTHWEST,2017,174,43,17,NA,6,NA
New Mexico,SOUTHWEST,2017,788,122,3,NA,1,4
Utah,NORTHWEST,2017,594,125,25,6,8,14
Wyoming,NORTHWEST,2017,199,23,4,NA,NA,3
Pacific,OTHER,2017,13444,1105,276,178,187,71
Alaska,OTHER,2017,126,20,10,1,5,1
California,CALIFORNIA,2017,9431,640,145,130,132,59
Hawaii,OTHER,2017,602,4,NA,22,3,NA
Oregon,NORTHWEST,2017,1069,291,84,7,13,2
Washington,NORTHWEST,2017,2216,150,37,18,34,9
Territories,OTHER,2017,59,NA,NA,512,NA,NA
American Samoa,OTHER,2017,NA,NA,NA,500,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2017,NA,NA,NA,NA,NA,NA
Guam,OTHER,2017,9,NA,NA,NA,NA,NA
Puerto Rico,OTHER,2017,50,NA,NA,11,NA,NA
U.S. Virgin Islands,OTHER,2017,NA,NA,NA,1,NA,NA
New York,EAST,2017,4180,439,5155,38,293,85
United States,OTHER,2018,70200,12533,33666,424,1748,3519
New England,OTHER,2018,3415,626,6395,10,96,70
Connecticut,EAST,2018,748,81,1859,3,12,27
Maine,EAST,2018,247,60,1405,NA,9,NA
Massachusetts,EAST,2018,1549,242,16,2,55,33
New Hampshire,EAST,2018,300,86,1428,3,7,6
Rhode Island,EAST,2018,326,90,1111,1,12,3
Vermont,EAST,2018,245,67,576,1,1,1
Middle Atlantic,OTHER,2018,9438,1192,17846,59,451,209
New Jersey,EAST,2018,1774,164,4000,20,93,62
New York (excluding New York City),OTHER,2018,2293,323,2886,9,61,60
New York City,OTHER,2018,2654,248,752,19,204,87
Pennsylvania,EAST,2018,2717,457,10208,11,93,NA
East North Central,OTHER,2018,9117,2628,2855,26,179,1777
Illinois,MIDWEST,2018,2438,425,276,5,65,1256
Indiana,MIDWEST,2018,1114,324,155,2,14,79
Michigan,MIDWEST,2018,1687,378,262,5,29,30
Ohio,MIDWEST,2018,2178,639,293,7,55,92
Wisconsin,MIDWEST,2018,1700,862,1869,7,16,320
West North Central,OTHER,2018,6861,2025,1920,23,132,554
Iowa,MIDWEST,2018,1662,663,283,5,22,212
Kansas,MIDWEST,2018,791,95,30,2,9,23
Minnesota,MIDWEST,2018,1565,530,1541,12,59,156
Missouri,MIDWEST,2018,1448,351,11,1,16,111
Nebraska,MIDWEST,2018,667,170,15,2,11,22
North Dakota,MIDWEST,2018,199,39,33,NA,6,NA
South Dakota,MIDWEST,2018,529,177,7,1,9,30
South Atlantic,OTHER,2018,12250,1852,4230,116,461,233
Delaware,EAST,2018,212,31,520,NA,11,6
District of Columbia,OTHER,2018,155,36,79,1,19,8
Florida,SOUTHEAST,2018,4729,586,169,84,58,76
Georgia,SOUTHEAST,2018,1415,350,19,6,65,35
Maryland,EAST,2018,938,85,1382,3,186,39
North Carolina,EAST,2018,2147,263,212,10,53,37
South Carolina,SOUTHEAST,2018,547,121,39,3,NA,6
Virginia,EAST,2018,1665,309,1139,8,66,21
West Virginia,EAST,2018,442,71,671,1,3,5
East South Central,OTHER,2018,3194,679,91,6,34,18
Alabama,SOUTHEAST,2018,783,152,36,1,9,NA
Kentucky,EAST,2018,877,178,22,1,10,NA
Mississippi,SOUTHEAST,2018,612,98,4,NA,3,NA
Tennessee,EAST,2018,922,251,29,4,12,18
West South Central,OTHER,2018,7512,1384,55,22,161,368
Arkansas,SOUTHEAST,2018,561,82,4,NA,2,5
Louisiana,SOUTHEAST,2018,771,155,4,2,9,10
Oklahoma,SOUTHWEST,2018,1156,164,NA,NA,6,NA
Texas,SOUTHWEST,2018,5024,983,47,20,144,353
Mountain,OTHER,2018,5165,965,69,23,77,91
Arizona,SOUTHWEST,2018,1269,203,7,9,24,10
Colorado,NORTHWEST,2018,1287,215,3,9,21,45
Idaho,NORTHWEST,2018,533,129,9,NA,3,NA
Montana,NORTHWEST,2018,433,81,7,NA,3,10
Nevada,NORTHWEST,2018,202,38,14,NA,10,NA
New Mexico,SOUTHWEST,2018,618,89,2,1,4,2
Utah,NORTHWEST,2018,559,193,27,4,10,21
Wyoming,NORTHWEST,2018,264,17,NA,NA,2,3
Pacific,OTHER,2018,13248,1182,205,139,157,199
Alaska,OTHER,2018,132,17,11,1,6,3
California,CALIFORNIA,2018,9248,663,104,107,97,170
Hawaii,OTHER,2018,822,7,NA,13,2,1
Oregon,NORTHWEST,2018,969,297,70,9,12,2
Washington,NORTHWEST,2018,2077,198,20,9,40,23
Territories,OTHER,2018,49,NA,1,157,NA,NA
American Samoa,OTHER,2018,NA,NA,NA,150,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2018,NA,NA,NA,NA,NA,NA
Guam,OTHER,2018,11,NA,1,3,NA,NA
