ReportingArea,Region,Year,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis infection,Cholera,Coccidioidomycosis,"Cryptosporidiosis, Total","Cryptosporidiosis, Confirmed","Cryptosporidiosis, Probable",Cyclosporiasis,"Dengue virus infections, Dengue","Dengue virus infections, Dengue-like illness","Dengue virus infections, Severe dengue",Diphtheria,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",Listeriosis,"Lyme disease, Total","Lyme disease, Confirmed","Lyme disease, Probable",Malaria,"Measles, Total","Measles, Indigenous","Measles, Imported","Candida auris, clinical",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,"Listeriosis, Total","Listeriosis, Confirmed","Listeriosis, Probable"
Utah,NORTHWEST,2017,NA,594,NA,10135,NA,74,125,37,88,14,6,NA,NA,NA,2,NA,NA,NA,6,25,10,15,8,3,2,1,NA,NA,NA,NA,NA
Wyoming,NORTHWEST,2017,1,199,NA,2142,NA,10,23,23,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,OTHER,2017,38,13444,1,282434,NA,6942,1105,785,320,71,178,NA,NA,NA,9,1,NA,3,168,276,131,145,187,18,14,4,NA,NA,NA,NA,NA
Alaska,OTHER,2017,1,126,NA,5934,NA,NA,20,15,5,1,1,NA,NA,NA,NA,NA,NA,NA,3,10,8,2,5,NA,NA,NA,NA,NA,NA,NA,NA
California,CALIFORNIA,2017,29,9431,1,218785,NA,6925,640,592,48,59,130,NA,NA,NA,8,NA,NA,3,128,145,84,61,132,15,13,2,NA,NA,NA,NA,NA
Hawaii,OTHER,2017,3,602,NA,6850,NA,NA,4,4,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,NORTHWEST,2017,3,1069,NA,18634,NA,17,291,57,234,2,7,NA,NA,NA,NA,1,NA,NA,16,84,13,71,13,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NORTHWEST,2017,2,2216,NA,32231,NA,NA,150,117,33,9,18,NA,NA,NA,1,NA,NA,NA,17,37,26,11,34,3,1,2,NA,NA,NA,NA,NA
Territories,OTHER,2017,NA,59,NA,7526,1,NA,NA,NA,NA,NA,512,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,OTHER,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,OTHER,2017,NA,9,NA,1107,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,OTHER,2017,NA,50,NA,5961,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Virgin Islands,OTHER,2017,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,EAST,2017,3,4180,NA,116814,2,NA,439,431,NA,85,38,NA,NA,NA,1196,169,NA,NA,99,5155,3502,1653,293,4,2,2,NA,NA,NA,NA,NA
United States,OTHER,2018,138,70200,3,1758668,14,15611,12533,8980,3553,3519,424,41,9,1,4008,1799,33,283,864,33666,23558,10108,1748,375,296,79,NA,NA,NA,NA,NA
New England,OTHER,2018,1,3415,NA,62470,NA,5,626,447,179,70,10,7,NA,NA,1843,155,NA,19,78,6395,4328,2067,96,6,2,4,NA,NA,NA,NA,NA
Connecticut,EAST,2018,NA,748,NA,16732,NA,NA,81,60,21,27,3,3,NA,NA,102,NA,NA,NA,18,1859,1268,591,12,3,1,2,NA,NA,NA,NA,NA
Maine,EAST,2018,NA,247,NA,4345,NA,NA,60,43,17,NA,NA,3,NA,NA,476,19,NA,9,7,1405,1111,294,9,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,EAST,2018,NA,1549,NA,30460,NA,NA,242,222,20,33,2,NA,NA,NA,658,20,NA,NA,32,16,13,3,55,2,1,1,NA,NA,NA,NA,NA
New Hampshire,EAST,2018,1,300,NA,3734,NA,1,86,33,53,6,3,1,NA,NA,214,20,NA,NA,9,1428,927,501,7,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,EAST,2018,NA,326,NA,5487,NA,4,90,56,34,3,1,NA,NA,NA,149,79,NA,NA,7,1111,661,450,12,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,EAST,2018,NA,245,NA,1712,NA,NA,67,33,34,1,1,NA,NA,NA,244,17,NA,10,5,576,348,228,1,1,NA,1,NA,NA,NA,NA,NA
Middle Atlantic,OTHER,2018,6,9438,NA,215425,5,NA,1192,948,244,209,59,2,2,NA,1141,221,NA,26,189,17846,13242,4604,451,226,200,26,NA,NA,NA,NA,NA
New Jersey,EAST,2018,NA,1774,NA,36514,NA,NA,164,162,2,62,20,NA,NA,NA,118,94,NA,7,36,4000,2876,1124,93,37,33,4,NA,NA,NA,NA,NA
New York (excluding New York City),OTHER,2018,2,2293,NA,47236,NA,NA,323,283,40,60,9,NA,NA,NA,850,101,NA,10,60,2886,2076,810,61,127,114,13,NA,NA,NA,NA,NA
New York City,OTHER,2018,2,2654,NA,72335,3,NA,248,248,NA,87,19,2,NA,NA,65,17,NA,NA,36,752,370,382,204,60,53,7,NA,NA,NA,NA,NA
Pennsylvania,EAST,2018,2,2717,NA,59340,2,NA,457,255,202,NA,11,NA,2,NA,108,9,NA,9,57,10208,7920,2288,93,2,NA,2,NA,NA,NA,NA,NA
East North Central,OTHER,2018,12,9117,NA,254090,1,91,2628,1868,760,1777,26,12,2,NA,397,128,1,151,109,2855,1809,1046,179,25,15,10,NA,NA,NA,NA,NA
Illinois,MIDWEST,2018,3,2438,NA,77325,NA,NA,425,362,63,1256,5,7,1,NA,15,39,1,1,22,276,189,87,65,5,2,3,NA,NA,NA,NA,NA
Indiana,MIDWEST,2018,NA,1114,NA,34926,NA,7,324,186,138,79,2,NA,NA,NA,NA,NA,NA,67,17,155,72,83,14,1,NA,1,NA,NA,NA,NA,NA
Michigan,MIDWEST,2018,4,1687,NA,50592,1,38,378,301,77,30,5,5,NA,NA,14,7,NA,NA,23,262,184,78,29,19,13,6,NA,NA,NA,NA,NA
Ohio,MIDWEST,2018,2,2178,NA,63220,NA,21,639,419,220,92,7,NA,NA,NA,2,15,NA,NA,30,293,243,50,55,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,MIDWEST,2018,3,1700,NA,28027,NA,25,862,600,262,320,7,NA,1,NA,366,67,NA,83,17,1869,1121,748,16,NA,NA,NA,NA,NA,NA,NA,NA
West North Central,OTHER,2018,8,6861,NA,103193,NA,147,2025,1484,541,554,23,1,1,NA,531,423,16,63,41,1920,1078,842,132,38,33,5,NA,NA,NA,NA,NA
Iowa,MIDWEST,2018,1,1662,NA,14682,NA,NA,663,453,210,212,5,NA,NA,NA,8,12,1,6,9,283,91,192,22,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,MIDWEST,2018,1,791,NA,14231,NA,6,95,73,22,23,2,1,NA,NA,7,58,2,1,6,30,8,22,9,21,20,1,NA,NA,NA,NA,NA
Minnesota,MIDWEST,2018,2,1565,NA,23569,NA,103,530,437,93,156,12,NA,1,NA,496,11,NA,40,10,1541,950,591,59,3,NA,3,NA,NA,NA,NA,NA
Missouri,MIDWEST,2018,3,1448,NA,34728,NA,26,351,265,86,111,1,NA,NA,NA,16,334,13,13,15,11,3,8,16,14,13,1,NA,NA,NA,NA,NA
Nebraska,MIDWEST,2018,NA,667,NA,8026,NA,7,170,157,13,22,2,NA,NA,NA,NA,3,NA,NA,NA,15,8,7,11,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,MIDWEST,2018,1,199,NA,3525,NA,2,39,28,11,NA,NA,NA,NA,NA,3,2,NA,3,NA,33,14,19,6,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,MIDWEST,2018,NA,529,NA,4432,NA,3,177,71,106,30,1,NA,NA,NA,1,3,NA,NA,1,7,4,3,9,NA,NA,NA,NA,NA,NA,NA,NA
South Atlantic,OTHER,2018,28,12250,1,368255,NA,4,1852,1195,657,233,116,6,2,NA,56,376,5,15,196,4230,2921,1309,461,27,18,9,NA,NA,NA,NA,NA
Delaware,EAST,2018,1,212,NA,6038,NA,NA,31,28,3,6,NA,NA,NA,NA,15,25,1,NA,5,520,505,15,11,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,OTHER,2018,2,155,NA,9014,NA,NA,36,34,2,8,1,3,NA,NA,NA,3,NA,1,2,79,57,22,19,1,NA,1,NA,NA,NA,NA,NA
Florida,SOUTHEAST,2018,13,4729,NA,104758,NA,NA,586,250,336,76,84,NA,2,NA,19,40,NA,1,47,169,98,71,58,15,11,4,NA,NA,NA,NA,NA
Georgia,SOUTHEAST,2018,1,1415,NA,65936,NA,NA,350,350,NA,35,6,NA,NA,NA,NA,NA,NA,NA,31,19,4,15,65,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,EAST,2018,2,938,NA,35482,NA,4,85,67,18,39,3,1,NA,NA,9,76,1,2,18,1382,894,488,186,1,NA,1,NA,NA,NA,NA,NA
North Carolina,EAST,2018,6,2147,NA,66553,NA,NA,263,225,38,37,10,2,NA,NA,5,100,NA,NA,38,212,56,156,53,3,2,1,NA,NA,NA,NA,NA
South Carolina,SOUTHEAST,2018,NA,547,1,33910,NA,NA,121,107,14,6,3,NA,NA,NA,NA,NA,NA,2,15,39,9,30,NA,6,5,1,NA,NA,NA,NA,NA
Virginia,EAST,2018,3,1665,NA,42965,NA,NA,309,77,232,21,8,NA,NA,NA,8,128,3,8,34,1139,744,395,66,1,NA,1,NA,NA,NA,NA,NA
West Virginia,EAST,2018,NA,442,NA,3599,NA,NA,71,57,14,5,1,NA,NA,NA,NA,4,NA,1,6,671,554,117,3,NA,NA,NA,NA,NA,NA,NA,NA
East South Central,OTHER,2018,5,3194,NA,108175,NA,NA,679,465,214,18,6,6,1,NA,14,225,4,5,34,91,37,54,34,1,NA,1,NA,NA,NA,NA,NA
Alabama,SOUTHEAST,2018,1,783,NA,28437,NA,NA,152,81,71,NA,1,1,1,NA,5,16,NA,3,11,36,20,16,9,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,EAST,2018,4,877,NA,19440,NA,NA,178,102,76,NA,1,2,NA,NA,1,75,NA,2,2,22,4,18,10,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,SOUTHEAST,2018,NA,612,NA,22086,NA,NA,98,97,1,NA,NA,NA,NA,NA,4,13,1,NA,6,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,EAST,2018,NA,922,NA,38212,NA,NA,251,185,66,18,4,3,NA,NA,4,121,3,NA,15,29,12,17,12,1,NA,1,NA,NA,NA,NA,NA
West South Central,OTHER,2018,26,7512,1,222440,3,25,1384,1034,350,368,22,2,NA,1,17,269,7,NA,75,55,22,33,161,15,6,9,NA,NA,NA,NA,NA
Arkansas,SOUTHEAST,2018,2,561,NA,17663,NA,5,82,82,NA,5,NA,2,NA,NA,8,169,5,NA,5,4,NA,4,2,1,NA,1,NA,NA,NA,NA,NA
Louisiana,SOUTHEAST,2018,4,771,NA,36293,3,20,155,100,55,10,2,NA,NA,NA,NA,1,NA,NA,7,4,2,2,9,2,NA,2,NA,NA,NA,NA,NA
Oklahoma,SOUTHWEST,2018,2,1156,NA,21974,NA,NA,164,144,20,NA,NA,NA,NA,1,5,90,2,NA,9,NA,NA,NA,6,3,NA,3,NA,NA,NA,NA,NA
Texas,SOUTHWEST,2018,18,5024,1,146510,NA,NA,983,708,275,353,20,NA,NA,NA,4,9,NA,NA,54,47,20,27,144,9,6,3,NA,NA,NA,NA,NA
Mountain,OTHER,2018,7,5165,NA,125638,2,7785,965,723,242,91,23,3,NA,NA,4,2,NA,1,24,69,36,33,77,2,1,1,NA,NA,NA,NA,NA
Arizona,SOUTHWEST,2018,4,1269,NA,40807,2,7478,203,165,38,10,9,1,NA,NA,1,1,NA,NA,6,7,7,NA,24,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NORTHWEST,2018,3,1287,NA,29124,NA,NA,215,177,38,45,9,NA,NA,NA,NA,NA,NA,NA,8,3,3,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NORTHWEST,2018,NA,533,NA,6572,NA,NA,129,115,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Montana,NORTHWEST,2018,NA,433,NA,4917,NA,28,81,80,1,10,NA,NA,NA,NA,1,NA,NA,NA,NA,7,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NORTHWEST,2018,NA,202,NA,17508,NA,166,38,16,22,NA,NA,2,NA,NA,1,1,NA,1,2,14,5,9,10,2,1,1,NA,NA,NA,NA,NA
New Mexico,SOUTHWEST,2018,NA,618,NA,14000,NA,56,89,87,2,2,1,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NORTHWEST,2018,NA,559,NA,10541,NA,54,193,66,127,21,4,NA,NA,NA,1,NA,NA,NA,2,27,11,16,10,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,NORTHWEST,2018,NA,264,NA,2169,NA,3,17,17,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,OTHER,2018,45,13248,1,298982,3,7554,1182,816,366,199,139,2,1,NA,5,NA,NA,3,118,205,85,120,157,35,21,14,NA,NA,NA,NA,NA
Alaska,OTHER,2018,2,132,NA,6159,NA,NA,17,11,6,3,1,1,NA,NA,NA,NA,NA,NA,1,11,8,3,6,NA,NA,NA,NA,NA,NA,NA,NA
California,CALIFORNIA,2018,36,9248,1,231415,3,7546,663,578,85,170,107,NA,NA,NA,5,NA,NA,3,87,104,62,42,97,22,12,10,NA,NA,NA,NA,NA
Hawaii,OTHER,2018,2,822,NA,7735,NA,NA,7,6,1,1,13,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,NORTHWEST,2018,4,969,NA,19224,NA,8,297,61,236,2,9,1,1,NA,NA,NA,NA,NA,9,70,7,63,12,5,3,2,NA,NA,NA,NA,NA
Washington,NORTHWEST,2018,1,2077,NA,34449,NA,NA,198,160,38,23,9,NA,NA,NA,NA,NA,NA,NA,15,20,8,12,40,8,6,2,NA,NA,NA,NA,NA
Territories,OTHER,2018,1,49,NA,7187,NA,NA,NA,NA,NA,NA,157,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,OTHER,2018,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2018,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,OTHER,2018,1,11,NA,944,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puerto Rico,OTHER,2018,NA,38,NA,5942,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U.S. Virgin Islands,OTHER,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,EAST,2018,4,4947,NA,119571,NA,NA,571,531,NA,147,28,NA,NA,NA,915,118,NA,NA,96,3638,2446,1192,265,187,167,20,NA,NA,NA,NA,NA
United States,OTHER,2019,165,71509,8,1808703,14,18407,13975,10185,3790,4703,1414,43,30,2,5655,2093,43,185,NA,34945,23453,11492,NA,NA,NA,NA,175,1483,928,880,48
New England,OTHER,2019,2,3493,3,61914,3,2,539,430,109,360,63,3,NA,NA,2668,138,NA,7,NA,7152,4769,2383,NA,NA,NA,NA,NA,15,54,54,NA
Connecticut,EAST,2019,NA,734,NA,15290,2,NA,80,74,6,103,16,NA,NA,NA,298,2,NA,NA,NA,1233,795,438,NA,NA,NA,NA,NA,NA,13,13,NA
Maine,EAST,2019,NA,191,NA,3989,NA,NA,71,49,22,NA,1,NA,NA,NA,685,13,NA,2,NA,2167,1629,538,NA,NA,NA,NA,NA,NA,5,5,NA
Massachusetts,EAST,2019,2,1732,3,31622,1,NA,231,221,10,211,35,3,NA,NA,698,29,NA,NA,NA,7,6,1,NA,NA,NA,NA,NA,NA,28,28,NA
New Hampshire,EAST,2019,NA,302,NA,3577,NA,1,65,12,53,9,NA,NA,NA,NA,301,10,NA,NA,NA,1710,1106,604,NA,NA,NA,NA,NA,NA,5,5,NA
Rhode Island,EAST,2019,NA,355,NA,5718,NA,1,63,61,2,31,8,NA,NA,NA,151,45,NA,NA,NA,971,527,444,NA,NA,NA,NA,NA,15,2,2,NA
Vermont,EAST,2019,NA,179,NA,1718,NA,NA,29,13,16,6,3,NA,NA,NA,535,39,NA,5,NA,1064,706,358,NA,NA,NA,NA,NA,NA,1,1,NA
Middle Atlantic,OTHER,2019,16,10132,NA,223907,2,NA,1684,1395,289,761,249,2,6,NA,2053,306,4,47,NA,16860,12010,4850,NA,NA,NA,NA,NA,61,178,175,3
New Jersey,EAST,2019,1,1996,NA,37591,1,NA,288,268,20,263,69,1,3,NA,142,142,4,7,NA,3619,2400,1219,NA,NA,NA,NA,NA,NA,34,34,NA
New York (excluding New York City),OTHER,2019,3,2488,NA,48696,NA,NA,486,429,57,305,40,NA,NA,NA,1603,141,NA,28,NA,3487,2450,1037,NA,NA,NA,NA,NA,NA,63,63,NA
New York City,OTHER,2019,5,2908,NA,75926,1,NA,397,397,NA,193,110,1,1,NA,94,11,NA,NA,NA,756,397,359,NA,NA,NA,NA,NA,61,38,37,1
Pennsylvania,EAST,2019,7,2740,NA,61694,NA,NA,513,301,212,NA,30,NA,2,NA,214,12,NA,12,NA,8998,6763,2235,NA,NA,NA,NA,NA,NA,43,41,2
East North Central,OTHER,2019,8,9331,NA,261019,4,74,2557,1901,656,573,100,4,6,NA,369,217,1,40,NA,3642,2227,1415,NA,NA,NA,NA,170,462,125,114,11
Illinois,MIDWEST,2019,5,2541,NA,81012,1,NA,407,302,105,164,40,2,5,NA,10,55,1,NA,NA,395,242,153,NA,NA,NA,NA,170,NA,30,26,4
Indiana,MIDWEST,2019,1,1065,NA,35430,NA,NA,321,264,57,31,13,NA,1,NA,5,58,NA,NA,NA,189,102,87,NA,NA,NA,NA,NA,271,22,17,5
Michigan,MIDWEST,2019,1,1651,NA,50104,2,40,415,351,64,127,19,1,NA,NA,14,5,NA,NA,NA,413,276,137,NA,NA,NA,NA,NA,162,26,25,1
Ohio,MIDWEST,2019,NA,2442,NA,65393,NA,21,685,495,190,142,11,1,NA,NA,6,23,NA,NA,NA,467,388,79,NA,NA,NA,NA,NA,NA,29,28,1
Wisconsin,MIDWEST,2019,1,1632,NA,29080,1,13,729,489,240,109,17,NA,NA,NA,334,76,NA,40,NA,2178,1219,959,NA,NA,NA,NA,NA,29,18,18,NA
West North Central,OTHER,2019,9,6593,NA,107934,3,141,1982,1414,568,388,42,5,NA,NA,442,501,25,71,NA,1941,1025,916,NA,NA,NA,NA,NA,8,46,43,3
Iowa,MIDWEST,2019,2,1391,NA,16044,NA,NA,558,325,233,121,8,1,NA,NA,14,16,NA,4,NA,303,70,233,NA,NA,NA,NA,NA,NA,7,7,NA
Kansas,MIDWEST,2019,NA,790,NA,15286,NA,NA,139,117,22,23,1,2,NA,NA,4,47,NA,3,NA,35,13,22,NA,NA,NA,NA,NA,NA,5,3,2
Minnesota,MIDWEST,2019,4,1492,NA,24470,3,94,487,415,72,137,18,2,NA,NA,405,16,NA,41,NA,1528,915,613,NA,NA,NA,NA,NA,NA,17,16,1
Missouri,MIDWEST,2019,1,1348,NA,34416,NA,30,400,303,97,61,7,NA,NA,NA,8,413,24,22,NA,17,2,15,NA,NA,NA,NA,NA,NA,15,15,NA
Nebraska,MIDWEST,2019,2,811,NA,9291,NA,6,193,174,19,36,7,NA,NA,NA,1,9,NA,NA,NA,10,4,6,NA,NA,NA,NA,NA,NA,2,2,NA
North Dakota,MIDWEST,2019,NA,237,NA,3880,NA,3,38,15,23,NA,NA,NA,NA,NA,10,NA,1,1,NA,38,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,MIDWEST,2019,NA,524,NA,4547,NA,8,167,65,102,10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,7,3,NA,NA,NA,NA,NA,8,NA,NA,NA
South Atlantic,OTHER,2019,27,11754,1,391469,1,8,2194,1388,806,1187,486,11,15,1,74,399,4,16,NA,4803,3160,1643,NA,NA,NA,NA,5,730,197,182,15
Delaware,EAST,2019,5,208,NA,5864,NA,NA,39,22,17,5,4,NA,NA,NA,7,41,NA,NA,NA,641,619,22,NA,NA,NA,NA,NA,NA,4,3,1
District of Columbia,OTHER,2019,1,133,NA,9327,NA,NA,31,29,2,37,6,NA,NA,NA,NA,NA,NA,NA,NA,100,57,43,NA,NA,NA,NA,NA,NA,1,NA,1
Florida,SOUTHEAST,2019,8,4525,NA,110794,NA,NA,662,262,400,543,387,7,14,NA,21,32,2,NA,NA,162,78,84,NA,NA,NA,NA,NA,NA,50,45,5
Georgia,SOUTHEAST,2019,5,1380,NA,67720,NA,NA,364,364,NA,77,5,1,NA,NA,NA,3,NA,NA,NA,18,2,16,NA,NA,NA,NA,1,262,25,25,NA
Maryland,EAST,2019,2,892,1,37779,1,8,107,99,8,220,25,NA,NA,NA,16,67,1,1,NA,1417,804,613,NA,NA,NA,NA,3,NA,23,23,NA
North Carolina,EAST,2019,1,1997,NA,70257,NA,NA,286,264,22,76,24,2,1,NA,11,154,NA,NA,NA,334,92,242,NA,NA,NA,NA,1,249,32,32,NA
South Carolina,SOUTHEAST,2019,2,553,NA,35950,NA,NA,111,109,2,24,9,1,NA,NA,NA,NA,NA,12,NA,47,17,30,NA,NA,NA,NA,NA,NA,22,19,3
Virginia,EAST,2019,3,1641,NA,48169,NA,NA,520,180,340,201,22,NA,NA,1,16,93,1,3,NA,1199,788,411,NA,NA,NA,NA,NA,219,31,28,3
West Virginia,EAST,2019,NA,425,NA,5609,NA,NA,74,59,15,4,4,NA,NA,NA,3,9,NA,NA,NA,885,703,182,NA,NA,NA,NA,NA,NA,9,7,2
East South Central,OTHER,2019,6,3403,2,118531,NA,13,937,686,251,71,17,NA,NA,NA,20,268,3,3,NA,137,83,54,NA,NA,NA,NA,NA,71,43,39,4
Alabama,SOUTHEAST,2019,4,750,NA,31228,NA,9,225,103,122,5,3,NA,NA,NA,7,30,1,1,NA,66,44,22,NA,NA,NA,NA,NA,NA,7,6,1
Kentucky,EAST,2019,NA,1127,2,20911,NA,4,341,234,107,NA,3,NA,NA,NA,4,102,1,1,NA,22,12,10,NA,NA,NA,NA,NA,NA,9,8,1
Mississippi,SOUTHEAST,2019,NA,601,NA,25303,NA,NA,124,123,1,NA,NA,NA,NA,NA,2,11,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,71,4,4,NA
Tennessee,EAST,2019,2,925,NA,41089,NA,NA,247,226,21,66,11,NA,NA,NA,7,125,1,1,NA,45,23,22,NA,NA,NA,NA,NA,NA,23,21,2
West South Central,OTHER,2019,54,7959,NA,205920,NA,29,1881,1324,557,1171,78,6,1,NA,14,260,6,1,NA,67,28,39,NA,NA,NA,NA,NA,NA,91,84,7
Arkansas,SOUTHEAST,2019,3,719,NA,17196,NA,10,142,136,6,34,3,NA,NA,NA,9,243,6,1,NA,18,5,13,NA,NA,NA,NA,NA,NA,4,4,NA
Louisiana,SOUTHEAST,2019,5,871,NA,36131,NA,19,355,218,137,100,4,3,NA,NA,1,2,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,12,11,1
Oklahoma,SOUTHWEST,2019,2,1191,NA,23518,NA,NA,194,167,27,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA
Texas,SOUTHWEST,2019,44,5178,NA,129075,NA,NA,1190,803,387,1037,70,3,1,NA,4,9,NA,NA,NA,41,15,26,NA,NA,NA,NA,NA,NA,65,59,6
Mountain,OTHER,2019,10,5525,1,129869,1,10728,967,696,271,120,72,7,2,1,4,2,NA,NA,NA,88,40,48,NA,NA,NA,NA,NA,100,39,37,2
Arizona,SOUTHWEST,2019,2,1615,1,43058,NA,10359,143,119,24,17,16,3,NA,1,4,NA,NA,NA,NA,10,6,4,NA,NA,NA,NA,NA,77,13,12,1
Colorado,NORTHWEST,2019,2,1245,NA,29821,NA,NA,269,194,75,58,31,2,1,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,12,11,1
Idaho,NORTHWEST,2019,2,551,NA,6863,NA,NA,131,114,17,NA,1,NA,1,NA,NA,NA,NA,NA,NA,14,5,9,NA,NA,NA,NA,NA,NA,5,5,NA
Montana,NORTHWEST,2019,NA,372,NA,4753,NA,17,72,72,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NORTHWEST,2019,2,237,NA,17827,1,117,50,29,21,NA,7,NA,NA,NA,NA,1,NA,NA,NA,17,4,13,NA,NA,NA,NA,NA,9,7,7,NA
New Mexico,SOUTHWEST,2019,1,688,NA,14283,NA,164,83,72,11,16,NA,2,NA,NA,NA,NA,NA,NA,NA,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NORTHWEST,2019,1,581,NA,11075,NA,69,197,76,121,22,10,NA,NA,NA,NA,NA,NA,NA,NA,19,5,14,NA,NA,NA,NA,NA,12,2,2,NA
Wyoming,NORTHWEST,2019,NA,236,NA,2189,NA,2,22,20,2,5,1,NA,NA,NA,NA,1,NA,NA,NA,5,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA
Pacific,OTHER,2019,33,13319,1,308140,NA,7412,1234,951,283,72,307,5,NA,NA,11,2,NA,NA,NA,255,111,144,NA,NA,NA,NA,NA,36,155,152,3
Alaska,OTHER,2019,1,129,NA,6254,NA,NA,12,7,5,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,1,1,NA
California,CALIFORNIA,2019,23,9790,1,236719,NA,7408,727,648,79,50,260,2,NA,NA,7,NA,NA,NA,NA,144,82,62,NA,NA,NA,NA,NA,4,114,111,3
